igre,disciplina,mesto,drzava,ime,rezultat 
Sarajevo 1984,1000m-women,20,NOR,Edel Therese Höiseth,00:01:27.570
Sarajevo 1984,1000m-women,21,NED,Thea Limbach,00:01:27.670
Sarajevo 1984,1000m-women,22,JPN,Shoko Fusano,00:01:27.860
Sarajevo 1984,1000m-women,23,NED,Alie Boorsma,00:01:27.900
Sarajevo 1984,1000m-women,24,USA,Mary Ann Docter,00:01:28.120
Sarajevo 1984,1000m-women,25,CAN,Sylvie Daigle,00:01:28.190
Sarajevo 1984,1000m-women,26,CHN,Guoqin Shen,00:01:28.400
Sarajevo 1984,1000m-women,27,JPN,Hiromi Ozawa,00:01:28.550
Sarajevo 1984,1000m-women,28,CHN,Min Miao,00:01:28.960
Sarajevo 1984,1000m-women,29,PRK,Chun Ok Han,00:01:29.110
Sarajevo 1984,1000m-women,30,HUN,Emese Hunyady,00:01:29.200
Sarajevo 1984,1000m-women,31,KOR,Yeun Joo Lee,00:01:29.220
Sarajevo 1984,1000m-women,32,CHN,Gui Feng Cao,00:01:29.300
Sarajevo 1984,1000m-women,33,ITA,Marzia Peretti,00:01:29.360
Sarajevo 1984,1000m-women,34,KOR,Kyung Ja Lee,00:01:29.800
Sarajevo 1984,1000m-women,35,KOR,Seong Youn Choi,00:01:30.280
Sarajevo 1984,1000m-women,36,YUG,Bibija Kerla,00:01:30.330
Sarajevo 1984,1000m-women,37,URS,Nataliya Shive Glebova,00:01:31.110
Sarajevo 1984,1000m-women,38,YUG,Dubravka Vukusic,00:01:32.310
Sarajevo 1984,1500m-men,1,CAN,Gaetan Boucher,00:01:58.360
Sarajevo 1984,1500m-men,2,URS,Sergey Khlebnikov,00:01:58.830
Sarajevo 1984,1500m-men,3,URS,Oleg Bozhyev,00:01:58.890
Sarajevo 1984,1500m-men,4,FRA,Hans Van Helden,00:01:59.390
Sarajevo 1984,1500m-men,5,GDR,Andreas Ehrig,00:01:59.410
Sarajevo 1984,1500m-men,6,GDR,Andreas Dietel,00:01:59.730
Sarajevo 1984,1500m-men,7,NED,Hilbert Van Der Duim,00:01:59.770
Sarajevo 1984,1500m-men,8,URS,Viktor Chacherine,00:01:59.810
Sarajevo 1984,1500m-men,9,FIN,Pertti Niittylä,00:02:00.010
Sarajevo 1984,1500m-men,10,NED,Fritz Schalij,00:02:00.140
Sarajevo 1984,1500m-men,11,GDR,Andre Hoffmann,00:02:00.230
Sarajevo 1984,1500m-men,12,NOR,Kai Arne Engelstad,00:02:00.590
Sarajevo 1984,1500m-men,12,NED,Hein Vergeer,00:02:00.590
Sarajevo 1984,1500m-men,14,USA,Nick Thometz,00:02:00.770
Sarajevo 1984,1500m-men,15,AUT,Werner Jäger,00:02:01.030
Sarajevo 1984,1500m-men,16,SWE,Hans Sture Magnusson,00:02:01.260
Sarajevo 1984,1500m-men,17,NOR,Rolf Falk Larssen,00:02:01.650
Sarajevo 1984,1500m-men,18,SWE,Claes Hakan Bengtsson,00:02:02.040
Sarajevo 1984,1500m-men,19,NOR,Björn Nyland,00:02:02.050
Sarajevo 1984,1500m-men,20,AUT,Michael Hadschieff,00:02:02.060
Sarajevo 1984,1500m-men,21,USA,Erik Henriksen,00:02:02.200
Sarajevo 1984,1500m-men,22,ROU,Tibor Kopacz,00:02:02.380
Sarajevo 1984,1500m-men,23,KOR,Young Ha Lee,00:02:02.450
Sarajevo 1984,1500m-men,24,SWE,Jan Gunnar Junell,00:02:02.550
Sarajevo 1984,1500m-men,25,FRG,Wolfgang Scharf,00:02:02.640
Sarajevo 1984,1500m-men,26,FRG,Hansjörg Baltes,00:02:02.680
Sarajevo 1984,1500m-men,27,FRG,Andreas Lemcke,00:02:03.130
Sarajevo 1984,1500m-men,28,AUT,Christian Eminger,00:02:03.180
Sarajevo 1984,1500m-men,29,JPN,Kimihiro Hamaya,00:02:03.720
Sarajevo 1984,1500m-men,30,KOR,Yun Su Na,00:02:03.900
Sarajevo 1984,1500m-men,31,PRK,Ri Bin Im,00:02:03.930
Sarajevo 1984,1500m-men,32,KOR,Ki Tae Bae,00:02:04.180
Sarajevo 1984,1500m-men,33,USA,Mark Mitchell,00:02:04.260
Sarajevo 1984,1500m-men,34,AUS,Michael Richmond,00:02:04.620
Sarajevo 1984,1500m-men,35,ITA,Giorgio Paganin,00:02:04.970
Sarajevo 1984,1500m-men,36,PRK,Gwang Hyun Kim,00:02:06.800
Sarajevo 1984,1500m-men,37,AUS,Colin Victor Coates,00:02:08.130
Sarajevo 1984,1500m-men,38,CHN,Wei Li,00:02:08.380
Sarajevo 1984,1500m-men,39,GBR,Bryan Carbis,00:02:13.250
Sarajevo 1984,1500m-men,40,YUG,Behudin Merdovic,00:02:19.250
Sarajevo 1984,1500m-women,1,GDR,Karin Enke,00:02:03.420
Sarajevo 1984,1500m-women,2,GDR,Andrea Ehrig,WR
Sarajevo 1984,1500m-women,3,URS,Nataliya Petrusyova,00:02:05.290
Sarajevo 1984,1500m-women,4,GDR,Gabi Zange,OR
Sarajevo 1984,1500m-women,5,POL,Erwina Rys,00:02:05.780
Sarajevo 1984,1500m-women,6,URS,Valentina Lalenkova,00:02:07.690
Sarajevo 1984,1500m-women,7,URS,Natalia Kurova,00:02:08.080
Sarajevo 1984,1500m-women,8,NOR,Björg Eva Jensen,00:02:08.170
Sarajevo 1984,1500m-women,9,NED,Thea Limbach,00:02:08.410
Sarajevo 1984,1500m-women,10,FRG,Sigrid Smuda,00:02:09.530
Sarajevo 1984,1500m-women,11,NED,Yvonne Van Gennip,00:02:10.350
Sarajevo 1984,1500m-women,12,SWE,Annette Karlsson,00:02:10.550
Sarajevo 1984,1500m-women,13,NED,Adriana Visser,00:02:10.610
Sarajevo 1984,1500m-women,14,USA,Mary Ann Docter,00:02:10.800
Sarajevo 1984,1500m-women,15,JPN,Seiko Hashimoto,00:02:11.060
Sarajevo 1984,1500m-women,16,SUI,Silvia Brunner,00:02:12.140
Sarajevo 1984,1500m-women,17,USA,Janet Goldman,00:02:12.560
Sarajevo 1984,1500m-women,18,USA,Nancy Louise Swider,00:02:12.620
Sarajevo 1984,1500m-women,19,PRK,Gum Yeen Pak,00:02:12.940
Sarajevo 1984,1500m-women,20,PRK,Chun Ok Han,00:02:13.740
Sarajevo 1984,1500m-women,21,CAN,Natalie Grenier,00:02:14.230
Sarajevo 1984,1500m-women,22,CAN,Sylvie Daigle,00:02:14.250
Sarajevo 1984,1500m-women,23,CHN,Gui Fang Wang,00:02:14.720
Sarajevo 1984,1500m-women,24,CHN,Xiuli Wang,00:02:15.500
Sarajevo 1984,1500m-women,25,PRK,Chang Hae Kim,00:02:16.190
Sarajevo 1984,1500m-women,26,KOR,Seong Youn Choi,00:02:16.680
Sarajevo 1984,1500m-women,27,KOR,Kyung Ja Lee,00:02:17.370
Sarajevo 1984,1500m-women,28,KOR,Yeun Joo Lee,00:02:17.800
Sarajevo 1984,1500m-women,29,CHN,Mei Yu Kong,00:02:17.960
Sarajevo 1984,1500m-women,30,POL,Lilianna Morawiec,00:02:18.340
Sarajevo 1984,1500m-women,31,YUG,Dubravka Vukusic,00:02:19.560
Sarajevo 1984,1500m-women,32,YUG,Bibija Kerla,00:02:39.370
Sarajevo 1984,3000m-women,1,GDR,Andrea Ehrig,00:04:24.790
Sarajevo 1984,3000m-women,2,GDR,Karin Enke,OR
Sarajevo 1984,3000m-women,3,GDR,Gabi Zange,00:04:26.330
Sarajevo 1984,3000m-women,4,URS,Olga Pleshkova,00:04:33.130
Sarajevo 1984,3000m-women,5,NED,Yvonne Van Gennip,00:04:34.420
Sarajevo 1984,3000m-women,6,USA,Mary Ann Docter,00:04:34.800
Sarajevo 1984,3000m-women,7,NOR,Björg Eva Jensen,00:04:36.250
Sarajevo 1984,3000m-women,8,URS,Valentina Lalenkova,00:04:36.280
Sarajevo 1984,3000m-women,9,URS,Nataliya Petrusyova,00:04:37.360
Sarajevo 1984,3000m-women,10,USA,Nancy Louise Swider,00:04:39.360
Sarajevo 1984,3000m-women,11,SWE,Annette Karlsson,00:04:40.100
Sarajevo 1984,3000m-women,12,USA,Janet Goldman,00:04:40.360
Sarajevo 1984,3000m-women,13,NED,Thea Limbach,00:04:42.490
Sarajevo 1984,3000m-women,14,POL,Erwina Rys,00:04:42.840
Sarajevo 1984,3000m-women,15,CAN,Natalie Grenier,00:04:42.900
Sarajevo 1984,3000m-women,16,PRK,Gum Yeen Pak,00:04:48.600
Sarajevo 1984,3000m-women,17,PRK,Chun Ok Han,00:04:49.260
Sarajevo 1984,3000m-women,18,FRG,Sigrid Smuda,00:04:51.910
Sarajevo 1984,3000m-women,19,JPN,Seiko Hashimoto,00:04:53.220
Sarajevo 1984,3000m-women,20,PRK,Chang Hae Kim,00:04:53.380
Sarajevo 1984,3000m-women,21,CHN,Gui Fang Wang,00:04:58.410
Sarajevo 1984,3000m-women,22,CHN,Xiuli Wang,00:04:59.320
Sarajevo 1984,3000m-women,23,CHN,Mei Yu Kong,00:05:00.150
Sarajevo 1984,3000m-women,24,KOR,Kyung Ja Lee,00:05:03.430
Sarajevo 1984,3000m-women,25,NED,Adriana Visser,00:05:07.120
Sarajevo 1984,3000m-women,26,YUG,Bibija Kerla,00:05:14.800
Sarajevo 1984,5000m-men,1,SWE,Tomas Gustafson,00:07:12.280
Sarajevo 1984,5000m-men,2,URS,Igor Malkov,00:07:12.300
Sarajevo 1984,5000m-men,3,GDR,René Schöfisch,00:07:17.490
Sarajevo 1984,5000m-men,4,GDR,Andreas Ehrig,00:07:17.630
Sarajevo 1984,5000m-men,5,URS,Oleg Bozhyev,00:07:17.960
Sarajevo 1984,5000m-men,6,FIN,Pertti Niittylä,00:07:17.970
Sarajevo 1984,5000m-men,7,NOR,Björn Nyland,00:07:18.270
Sarajevo 1984,5000m-men,8,AUT,Werner Jäger,00:07:18.610
Sarajevo 1984,5000m-men,9,NED,Hilbert Van Der Duim,00:07:19.390
Sarajevo 1984,5000m-men,10,NOR,Geir Karlstad,00:07:20.240
Sarajevo 1984,5000m-men,11,FRA,Hans Van Helden,00:07:24.590
Sarajevo 1984,5000m-men,12,USA,Michael Woods,00:07:24.810
Sarajevo 1984,5000m-men,13,AUT,Michael Hadschieff,00:07:25.070
Sarajevo 1984,5000m-men,14,NED,Robert Vunderink,00:07:25.190
Sarajevo 1984,5000m-men,15,NOR,Rolf Falk Larssen,00:07:25.540
Sarajevo 1984,5000m-men,16,SWE,Claes Hakan Bengtsson,00:07:26.570
Sarajevo 1984,5000m-men,17,NED,Fritz Schalij,00:07:28.170
Sarajevo 1984,5000m-men,18,SWE,Jan Gunnar Junell,00:07:29.980
Sarajevo 1984,5000m-men,19,ROU,Tibor Kopacz,00:07:32.690
Sarajevo 1984,5000m-men,20,AUT,Heinz Steinberger,00:07:32.720
Sarajevo 1984,5000m-men,21,USA,Mark Mitchell,00:07:34.320
Sarajevo 1984,5000m-men,22,ITA,Maurizio Marchetto,00:07:36.870
Sarajevo 1984,5000m-men,23,PRK,Ri Bin Im,00:07:37.490
Sarajevo 1984,5000m-men,24,JPN,Masahito Shinohara,00:07:37.940
Sarajevo 1984,5000m-men,25,AUS,Colin Victor Coates,00:07:38.080
Sarajevo 1984,5000m-men,26,JPN,Toshiaki Imamura,00:07:38.160
Sarajevo 1984,5000m-men,27,KOR,Young Ha Lee,00:07:39.170
Sarajevo 1984,5000m-men,28,FRG,Wolfgang Scharf,00:07:40.900
Sarajevo 1984,5000m-men,29,FRG,Andreas Lemcke,00:07:41.690
Sarajevo 1984,5000m-men,30,KOR,Yun Su Na,00:07:42.450
Sarajevo 1984,5000m-men,31,FRA,Jean Noël Fagot,00:07:44.600
Sarajevo 1984,5000m-men,32,URS,Sergey Berezin,00:07:45.940
Sarajevo 1984,5000m-men,33,PRK,Gwang Hyun Kim,fall
Sarajevo 1984,5000m-men,34,CHN,Shi Jian Zhao,00:07:46.120
Sarajevo 1984,5000m-men,35,USA,Mark Huck,00:07:46.680
Sarajevo 1984,5000m-men,36,CAN,Benoit Lamarche,00:07:46.910
Sarajevo 1984,5000m-men,37,FRG,Hansjörg Baltes,00:07:47.250
Sarajevo 1984,5000m-men,38,CAN,Jean Pichette,00:07:50.330
Sarajevo 1984,5000m-men,39,KOR,Ki Tae Bae,00:07:50.390
Sarajevo 1984,5000m-men,40,CHN,Wei Li,00:07:50.820
Sarajevo 1984,5000m-men,41,GBR,Bryan Carbis,00:07:55.700
Sarajevo 1984,10000m-men,1,URS,Igor Malkov,00:14:39.900
Sarajevo 1984,10000m-men,2,SWE,Tomas Gustafson,00:14:39.950
Sarajevo 1984,10000m-men,3,GDR,René Schöfisch,00:14:46.910
Sarajevo 1984,10000m-men,4,NOR,Geir Karlstad,00:14:52.400
Sarajevo 1984,10000m-men,5,AUT,Michael Hadschieff,00:14:53.780
Sarajevo 1984,10000m-men,6,URS,Dmitry Bochkaryov,00:14:55.650
Sarajevo 1984,10000m-men,7,USA,Michael Woods,00:14:57.300
Sarajevo 1984,10000m-men,8,NOR,Henry Nilsen,00:14:57.810
Sarajevo 1984,10000m-men,9,NED,Yep Kramer,00:14:59.890
Sarajevo 1984,10000m-men,10,NED,Hilbert Van Der Duim,00:15:01.240
Sarajevo 1984,10000m-men,11,GDR,Andreas Ehrig,00:15:03.760
Sarajevo 1984,10000m-men,12,AUT,Werner Jäger,00:15:07.590
Sarajevo 1984,10000m-men,13,NOR,Björn Nyland,00:15:08.340
Sarajevo 1984,10000m-men,14,URS,Konstantine Korotkov,00:15:11.100
Sarajevo 1984,10000m-men,15,SWE,Jan Gunnar Junell,00:15:12.900
Sarajevo 1984,10000m-men,16,SWE,Claes Hakan Bengtsson,00:15:14.330
Sarajevo 1984,10000m-men,17,NED,Robert Vunderink,00:15:14.450
Sarajevo 1984,10000m-men,18,FIN,Pertti Niittylä,00:15:15.180
Sarajevo 1984,10000m-men,19,AUT,Heinz Steinberger,00:15:18.190
Sarajevo 1984,10000m-men,20,ITA,Maurizio Marchetto,00:15:19.770
Sarajevo 1984,10000m-men,21,USA,Mark Mitchell,00:15:21.240
Sarajevo 1984,10000m-men,22,AUS,Colin Victor Coates,00:15:21.730
Sarajevo 1984,10000m-men,23,JPN,Toshiaki Imamura,00:15:23.370
Sarajevo 1984,10000m-men,24,ROU,Tibor Kopacz,00:15:23.950
Sarajevo 1984,10000m-men,25,FRA,Hans Van Helden,00:15:26.100
Sarajevo 1984,10000m-men,26,JPN,Masahito Shinohara,00:15:31.700
Sarajevo 1984,10000m-men,27,KOR,Young Ha Lee,00:15:34.480
Sarajevo 1984,10000m-men,28,FRG,Wolfgang Scharf,00:15:40.740
Sarajevo 1984,10000m-men,29,PRK,Ri Bin Im,00:15:45.190
Sarajevo 1984,10000m-men,30,CHN,Shi Jian Zhao,00:15:46.370
Sarajevo 1984,10000m-men,31,FRA,Jean Noël Fagot,00:15:59.650
Sarajevo 1984,10000m-men,32,GDR,Andreas Dietel,00:16:01.890
Calgary 1988,500m-men,1,GDR,Uwe Jens Mey,36.450
Calgary 1988,500m-men,2,NED,Jan Ykema,WR
Calgary 1988,500m-men,3,JPN,Akira Kuroiwa,36.760
Calgary 1988,500m-men,4,URS,Sergey Fokichev,OR
Calgary 1988,500m-men,5,KOR,Ki Tae Bae,36.770
Calgary 1988,500m-men,6,URS,Igor Zhelezovsky,36.820
Calgary 1988,500m-men,7,CAN,Guy Thibault,36.900
Calgary 1988,500m-men,8,USA,Nick Thometz,36.940
Calgary 1988,500m-men,9,JPN,Yasumitsu Kanehama,36.960
Calgary 1988,500m-men,10,NOR,Frode Rönning,37.160
Calgary 1988,500m-men,11,JPN,Yasushi Kuroiwa,37.250
Calgary 1988,500m-men,12,URS,Vitaly Makovetsky,37.310
Calgary 1988,500m-men,13,JPN,Kimihiro Hamaya,37.340
Calgary 1988,500m-men,14,CAN,Gaetan Boucher,37.350
Calgary 1988,500m-men,15,USA,Erik Henriksen,37.380
Calgary 1988,500m-men,16,NED,Menno Boelsma,37.470
Calgary 1988,500m-men,17,CAN,Daniel Turcotte,37.500
Calgary 1988,500m-men,18,NOR,Björn Hagen,37.520
Calgary 1988,500m-men,18,SWE,Per Göran Johansson,37.600
Calgary 1988,500m-men,20,FRG,Hans Peter Oberhuber,37.690
Calgary 1988,500m-men,21,GDR,Andre Hoffmann,37.690
Calgary 1988,500m-men,22,USA,Martin Pierce,37.730
Calgary 1988,500m-men,23,AUS,Michael Richmond,37.750
Calgary 1988,500m-men,24,NED,Hein Vergeer,37.760
Calgary 1988,500m-men,25,POL,Jerzy Dominik,37.770
Calgary 1988,500m-men,26,AUT,Michael Hadschieff,37.800
Calgary 1988,500m-men,27,FRG,Uwe Streb,37.830
Calgary 1988,500m-men,28,GDR,Peter Adeberg,37.900
Calgary 1988,500m-men,29,CAN,Robert Tremblay,38.030
Calgary 1988,500m-men,30,SWE,Hans Sture Magnusson,38.110
Calgary 1988,500m-men,31,FRA,Claude Nicouleau,38.340
Calgary 1988,500m-men,32,SWE,Claes Hakan Bengtsson,38.600
Calgary 1988,500m-men,33,FRA,Hans Van Helden,38.630
Calgary 1988,500m-men,34,AUT,Christian Eminger,38.660
Calgary 1988,500m-men,35,YUG,Behudin Merdovic,39.050
Calgary 1988,500m-men,36,URS,Nikolay Gulyaev,39.700
Calgary 1988,500m-women,1,USA,Bonnie Blair,39.100
Calgary 1988,500m-women,2,GDR,Christa Luding Rothenburger,WR
Calgary 1988,500m-women,3,GDR,Karin Enke,39.120
Calgary 1988,500m-women,4,GDR,Angela Hauck,WR
Calgary 1988,500m-women,5,JPN,Seiko Hashimoto,39.240
Calgary 1988,500m-women,6,CAN,Shelley Rhead,39.680
Calgary 1988,500m-women,7,FRG,Monika Holzner Gawenus,39.740
Calgary 1988,500m-women,8,JPN,Shoko Fusano,40.360
Calgary 1988,500m-women,9,URS,Nataliya Shive Glebova,40.530
Calgary 1988,500m-women,10,GDR,Andrea Ehrig,40.610
Calgary 1988,500m-women,11,CAN,Natalie Grenier,40.660
Calgary 1988,500m-women,12,USA,Kathryn Class,40.710
Calgary 1988,500m-women,13,KOR,Seon Hui Yu,OR
Calgary 1988,500m-women,14,NOR,Edel Therese Höiseth,40.730
Calgary 1988,500m-women,15,NED,Ingrid Haringa,40.910
Calgary 1988,500m-women,16,URS,Yelena Ilyina,40.920
Calgary 1988,500m-women,17,NED,Christine Aaftink,40.950
Calgary 1988,500m-women,18,POL,Zofia Tokarczyk,41.120
Calgary 1988,500m-women,19,AUT,Emese Hunyady,41.150
Calgary 1988,500m-women,19,POL,Erwina Rys,41.220
Calgary 1988,500m-women,21,JPN,Noriko Toda,41.370
Calgary 1988,500m-women,22,PRK,Hwa Son Song,41.380
Calgary 1988,500m-women,23,USA,Leslie Bader,41.380
Calgary 1988,500m-women,23,CAN,Ariane Loignon,41.440
Calgary 1988,500m-women,25,USA,Kristen Talbot,41.460
Calgary 1988,500m-women,26,PRK,Chun Ok Han,41.570
Calgary 1988,500m-women,27,FRA,Marie France Van Helden,41.570
Calgary 1988,500m-women,28,SWE,Jasmin Krohn,41.710
Calgary 1988,500m-women,29,FRA,Stéphanie Dumont,42.250
Calgary 1988,500m-women,30,YUG,Bibija Kerla,42.490
Calgary 1988,1000m-men,1,URS,Nikolay Gulyaev,00:01:13.030
Calgary 1988,1000m-men,2,GDR,Uwe Jens Mey,OR
Calgary 1988,1000m-men,3,URS,Igor Zhelezovsky,00:01:13.110
Calgary 1988,1000m-men,4,USA,Eric Flaim,00:01:13.190
Calgary 1988,1000m-men,5,CAN,Gaetan Boucher,00:01:13.530
Calgary 1988,1000m-men,6,AUT,Michael Hadschieff,00:01:13.770
Calgary 1988,1000m-men,7,CAN,Guy Thibault,00:01:13.840
Calgary 1988,1000m-men,8,GDR,Peter Adeberg,00:01:14.160
Calgary 1988,1000m-men,9,KOR,Ki Tae Bae,00:01:14.190
Calgary 1988,1000m-men,9,JPN,Yasumitsu Kanehama,00:01:14.360
Calgary 1988,1000m-men,11,URS,Andrei Bakhvalov,00:01:14.360
Calgary 1988,1000m-men,12,URS,Boris Repnine,OR
Calgary 1988,1000m-men,13,JPN,Kimihiro Hamaya,00:01:14.390
Calgary 1988,1000m-men,14,AUS,Michael Richmond,00:01:14.410
Calgary 1988,1000m-men,15,GDR,Andre Hoffmann,00:01:14.430
Calgary 1988,1000m-men,15,NED,Hein Vergeer,00:01:14.610
Calgary 1988,1000m-men,17,USA,Thomas Cushman,00:01:14.620
Calgary 1988,1000m-men,18,USA,Nick Thometz,00:01:14.620
Calgary 1988,1000m-men,19,CAN,Jean Pichette,00:01:14.680
Calgary 1988,1000m-men,20,JPN,Akira Kuroiwa,00:01:14.710
Calgary 1988,1000m-men,21,SWE,Claes Hakan Bengtsson,OR
Calgary 1988,1000m-men,22,CAN,Marcel Tremblay,00:01:14.720
Calgary 1988,1000m-men,23,JPN,Yukihiro Mitani,00:01:15.050
Calgary 1988,1000m-men,24,NED,Menno Boelsma,00:01:15.070
Calgary 1988,1000m-men,25,NOR,Frode Rönning,00:01:15.130
Calgary 1988,1000m-men,26,NOR,Rolf Falk Larssen,00:01:15.280
Calgary 1988,1000m-men,27,SWE,Hans Sture Magnusson,00:01:15.340
Calgary 1988,1000m-men,28,POL,Jerzy Dominik,00:01:15.390
Calgary 1988,1000m-men,29,FRA,Hans Van Helden,00:01:15.420
Calgary 1988,1000m-men,30,SWE,Per Göran Johansson,00:01:15.790
Calgary 1988,1000m-men,31,AUS,Phillip Tahmindjis,00:01:16.160
Calgary 1988,1000m-men,32,FRG,Hans Peter Oberhuber,00:01:16.320
Calgary 1988,1000m-men,33,FRA,Claude Nicouleau,00:01:16.330
Calgary 1988,1000m-men,34,GBR,Craig Albert Mcnicol,00:01:16.380
Calgary 1988,1000m-men,35,YUG,Behudin Merdovic,00:01:16.620
Calgary 1988,1000m-men,36,GBR,Julian Green,00:01:17.910
Calgary 1988,1000m-women,1,GDR,Christa Luding Rothenburger,00:01:17.650
Calgary 1988,1000m-women,2,GDR,Karin Enke,WR
Calgary 1988,1000m-women,3,USA,Bonnie Blair,00:01:17.700
Calgary 1988,1000m-women,4,GDR,Andrea Ehrig,WR
Calgary 1988,1000m-women,5,JPN,Seiko Hashimoto,00:01:18.310
Calgary 1988,1000m-women,6,GDR,Angela Hauck,OR
Calgary 1988,1000m-women,7,USA,Leslie Bader,00:01:19.320
Calgary 1988,1000m-women,8,USA,Kathryn Class,00:01:19.750
Calgary 1988,1000m-women,9,CAN,Natalie Grenier,00:01:20.050
Calgary 1988,1000m-women,10,POL,Erwina Rys,00:01:21.090
Calgary 1988,1000m-women,11,JPN,Shoko Fusano,00:01:21.100
Calgary 1988,1000m-women,12,NED,Christine Aaftink,00:01:21.150
Calgary 1988,1000m-women,13,POL,Zofia Tokarczyk,00:01:21.440
Calgary 1988,1000m-women,14,CAN,Shelley Rhead,00:01:21.470
Calgary 1988,1000m-women,15,NOR,Edel Therese Höiseth,00:01:21.630
Calgary 1988,1000m-women,16,AUT,Emese Hunyady,00:01:21.800
Calgary 1988,1000m-women,17,KOR,Seon Hui Yu,00:01:21.840
Calgary 1988,1000m-women,18,URS,Yelena Ilyina,00:01:21.900
Calgary 1988,1000m-women,19,CAN,Ariane Loignon,00:01:22.220
Calgary 1988,1000m-women,20,URS,Nataliya Shive Glebova,00:01:22.350
Calgary 1988,1000m-women,21,NED,Ingrid Haringa,00:01:22.400
Calgary 1988,1000m-women,22,JPN,Noriko Toda,00:01:22.750
Calgary 1988,1000m-women,23,PRK,Chun Ok Han,00:01:22.990
Calgary 1988,1000m-women,24,USA,Nancy Louise Swider,00:01:23.150
Calgary 1988,1000m-women,25,CAN,Marie Pierre Lamarche,00:01:23.490
Calgary 1988,1000m-women,26,YUG,Bibija Kerla,00:01:24.260
Calgary 1988,1500m-men,1,GDR,Andre Hoffmann,00:01:52.060
Calgary 1988,1500m-men,2,USA,Eric Flaim,WR
Calgary 1988,1500m-men,3,AUT,Michael Hadschieff,00:01:52.120
Calgary 1988,1500m-men,4,URS,Igor Zhelezovsky,WR
Calgary 1988,1500m-men,5,JPN,Toru Aoyanagi,00:01:52.310
Calgary 1988,1500m-men,6,URS,Aleksandr Klimov,00:01:52.630
Calgary 1988,1500m-men,7,URS,Nikolay Gulyaev,00:01:52.850
Calgary 1988,1500m-men,8,GDR,Peter Adeberg,00:01:52.970
Calgary 1988,1500m-men,9,CAN,Gaetan Boucher,00:01:53.040
Calgary 1988,1500m-men,10,CAN,Jean Pichette,00:01:53.570
Calgary 1988,1500m-men,11,USA,Mark Greenwald,00:01:54.180
Calgary 1988,1500m-men,12,AUS,Michael Richmond,00:01:54.630
Calgary 1988,1500m-men,13,SWE,Claes Hakan Bengtsson,00:01:54.640
Calgary 1988,1500m-men,14,AUS,Danny Kah,00:01:54.950
Calgary 1988,1500m-men,15,USA,David William Silk,00:01:55.160
Calgary 1988,1500m-men,16,JPN,Munehisa Kuroiwa,00:01:55.190
Calgary 1988,1500m-men,17,PRK,Ri Bin Im,00:01:55.260
Calgary 1988,1500m-men,18,CAN,Benoit Lamarche,00:01:55.420
Calgary 1988,1500m-men,19,FRA,Hans Van Helden,00:01:55.550
Calgary 1988,1500m-men,20,USA,John Baskfield,00:01:55.590
Calgary 1988,1500m-men,21,NOR,Rolf Falk Larssen,00:01:55.610
Calgary 1988,1500m-men,22,JPN,Yoshiyuki Shimizu,00:01:55.880
Calgary 1988,1500m-men,23,CAN,Gregor Jelonek,00:01:55.940
Calgary 1988,1500m-men,24,SWE,Hans Sture Magnusson,00:01:55.980
Calgary 1988,1500m-men,25,FIN,Pertti Niittylä,00:01:56.370
Calgary 1988,1500m-men,26,KOR,Ik Hwan Hwang,00:01:56.440
Calgary 1988,1500m-men,27,NED,Hein Vergeer,00:01:56.480
Calgary 1988,1500m-men,28,JPN,Hozumi Moriyama,00:01:56.500
Calgary 1988,1500m-men,29,KOR,Kwan Kyu Kim,00:01:56.630
Calgary 1988,1500m-men,30,FRG,Hansjörg Baltes,00:01:56.840
Calgary 1988,1500m-men,31,CHN,Yan Fei Liu,00:01:56.850
Calgary 1988,1500m-men,32,AUS,Phillip Tahmindjis,00:01:57.080
Calgary 1988,1500m-men,33,NOR,Frode Syvertsen,00:01:57.380
Calgary 1988,1500m-men,34,TCH,Jiri Kyncl,00:01:57.630
Calgary 1988,1500m-men,35,URS,Andrei Bobrov,00:01:58.370
Calgary 1988,1500m-men,36,POL,Jerzy Dominik,00:01:58.440
Calgary 1988,1500m-men,37,GBR,Julian Green,00:01:58.970
Calgary 1988,1500m-men,38,GBR,Craig Albert Mcnicol,00:01:59.030
Calgary 1988,1500m-men,39,YUG,Behudin Merdovic,00:01:59.410
Calgary 1988,1500m-women,1,NED,Yvonne Van Gennip,00:02:00.680
Calgary 1988,1500m-women,2,GDR,Karin Enke,OR
Calgary 1988,1500m-women,3,GDR,Andrea Ehrig,00:02:00.820
Calgary 1988,1500m-women,4,USA,Bonnie Blair,OR
Calgary 1988,1500m-women,5,URS,Yelena Lapuga,00:02:01.490
Calgary 1988,1500m-women,6,JPN,Seiko Hashimoto,OR
Calgary 1988,1500m-women,7,GDR,Gunda Niemann Stirnemann,00:02:04.020
Calgary 1988,1500m-women,7,POL,Erwina Rys,00:02:04.240
Calgary 1988,1500m-women,9,PRK,Hwa Son Song,00:02:04.380
Calgary 1988,1500m-women,10,USA,Leslie Bader,00:02:04.680
Calgary 1988,1500m-women,11,CAN,Natalie Grenier,00:02:04.680
Calgary 1988,1500m-women,12,NED,Marieke Stam,00:02:05.250
Calgary 1988,1500m-women,13,USA,Kathryn Class,00:02:05.530
Calgary 1988,1500m-women,14,CAN,Ariane Loignon,00:02:06.800
Calgary 1988,1500m-women,15,URS,Yelena Tumanova,00:02:07.000
